Tweet,Target 1,Stance 1,Target 2,Stance 2,Test/Train/Dev
VOTERS mean more than Super Delegates @SenSanders CORRUPT~> #HillaryClinton Spends MILLIONS on MSM to DISCOURAGE #AMERICANS VOTING #Sanders,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
Any surprise #Hillary and #BernieSanders don't have a American Lapel pin.. Guess they dont want to offended anyone #DNCdebate,Hillary Clinton,AGAINST,Bernie Sanders,AGAINST,Train
"Notice when #Hillary attacks on #Bernie get debunked (racist, sexist etc) it always devolves into, ""It's not him it's his supporters."" #LOL!",Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
"IMO your country owes you 3 things: safety/security, education & health care. With these 3 things, u can succeed.#Bernie2016 #Hillary2016",Hillary Clinton,NONE,Bernie Sanders,NONE,Train
"POLL: What's #HillaryClnton better at?: Half truths Out-of-context statements or Outright lies to attack only candidate w integrity, #Bernie",Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
Mainstream media is owned by big-money interests. They like #Hillary bc she's a closet #GOP. Don't be swayed by their polls. #BernieSanders,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
"When establishment #Dems call #BernieSanders unelectable they're saying they'd RETREAT if he's nominated, but they'd DEFEND #HillaryClinton.",Hillary Clinton,NONE,Bernie Sanders,NONE,Train
#cbsdebate: #Hillary shouldn't bristle re #Bernie impugning her INTEGRITY re taking SPECIAL INTERESTS $. She should LEAD BY EXAMPLE & STOP!!,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
I don't know whether I'm voting for #Bernie or #Hillary but I do know they're both great & will gladly support either vs. GOP #UniteBlue #p2,Hillary Clinton,FAVOR,Bernie Sanders,FAVOR,Train
"Regardless of who wins the Democratic nomination, it'll be Bernie Sanders ideas  that win out for either candidate. #Bernie2016 #Hillary2016",Hillary Clinton,NONE,Bernie Sanders,FAVOR,Train
"What was #Hillary2016 saying about #Bernie2016 when she said he was ""Shouting and waving arms""? Was #Hillary being sexist or just insulting",Hillary Clinton,AGAINST,Bernie Sanders,AGAINST,Train
#Unions work toward increasing middle class wages w/ collective bargaining & most have endorsed #HillaryClinton not #BernieSanders #lastword,Hillary Clinton,FAVOR,Bernie Sanders,AGAINST,Train
It's kinda cute that #Republicans actually believe they could beat #Hillary2016 or #Bernie2016 in the big race. All you can do is laugh.,Hillary Clinton,FAVOR,Bernie Sanders,FAVOR,Train
"History proves that no empire rules forever, America is close to tipping in that direction #Vote2016 #Empire #Bernie2016 #Hillary2016 #Trump",Hillary Clinton,NONE,Bernie Sanders,NONE,Train
#HillaryClinton doesn't know what it's like when you can't afford your copay. #BernieSanders fights for people who aren't wealthy like HC.,Hillary Clinton,AGAINST,Bernie Sanders,NONE,Train
Women can't take a chance on nominating a candidate like #HillaryWallSt whom men may not vote for. Men don't fear republicans Vote #bernie,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
#bernie2016 #HillaryClinton  Hillary making waves about anything related to computer data is the pot calling the kettle black.  What gall.,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
But it's the dem/socialist way! @jeffreywjordan U should also send them half of your paycheck if u agree with #Bernie or #Hillary #Oregon,Hillary Clinton,AGAINST,Bernie Sanders,AGAINST,Train
#hillary is starting to mimic #Bernie 's platform by suggesting a rise in income tax rate for over 5M $ earners she can't think for herself,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
"You know social media has reached its height, when all three candidates advertise their website #Demdebate #HillaryClinton #Sanders",Hillary Clinton,NONE,Bernie Sanders,NONE,Train
Don't be voting #Hillary & then complain about #WallStreet+corporations having too much power in DC. Care about corruption? Vote #Bernie2016,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
".@ThisWeekABC No logic nominating #Hillary. Female/Black support only +. Despite, #Bernie still MUCH stronger in general. She's the Dem loss",Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
"Some #Clinton Suxup on #MSNBC, another Clinton Suxup, reading #Sanders 2014 positions as #Hillary's! Lol! Sans Bernie, Clinton = Bush!",Hillary Clinton,AGAINST,Bernie Sanders,NONE,Train
"#Hillary has now, begged 4 more debates, ever since a very elderly #BernieSanders. Days gone by, Marxist sympathizer has overtaken her. #CNN",Hillary Clinton,NONE,Bernie Sanders,FAVOR,Train
Reason the GOP unloads on Hillary at every talking head event & debate: She is their real threat.  #bernie = *crickets*  #myview  #Hillary,Hillary Clinton,FAVOR,Bernie Sanders,AGAINST,Train
Does the media plant into peoples heads that #Hillary and not #Bernie will be the nominee for the General Election?,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
#CNN is saying #Hillary is doing better post-debate because she isn't. they're frightened by #BernieSanders' success now. read b/t the lines,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
"If past is prolog, a #BernieSanders presidency will be him making great, moving speeches but won't change anything! #IACaucus #Hillary",Hillary Clinton,FAVOR,Bernie Sanders,AGAINST,Train
"#HillaryClinton just as robotic as ever, minus the occasional cackle.  #Sanders cares more about people & less about wallstreet. #Bernie2016",Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
"The way things are going now for the #GOP, #Hillary or #Bernie won't have an opponent come next Nov, just a punch drunk lump of flesh.",Hillary Clinton,NONE,Bernie Sanders,NONE,Train
We don't survive #Bernie - We don't survive #Hillary . We either end everything with this election or elect a Constitutionalist.,Hillary Clinton,FAVOR,Bernie Sanders,AGAINST,Train
"#Hillary > #Bernie FACT 2: Sanders support base IS CONS 'cuz AGAIN, they don't want to face Clinton. @incoduce @MsRock4Ever @Greedalitism365",Hillary Clinton,FAVOR,Bernie Sanders,AGAINST,Train
I turned off the town hall after Bernie Sanders was done because I could care less about those other two #Sanders2016 #hillary2016,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
I've noticed that @CNN always likes to put #Hillary in the middle as if suggesting she's the leader. It's so obvious it's disgusting #Bernie,Hillary Clinton,AGAINST,Bernie Sanders,AGAINST,Train
"I love my kids. They are grown and working for #Hillary, #Martin and #Bernie. A few of them went rouge and supporting others. Come to me.",Hillary Clinton,NONE,Bernie Sanders,NONE,Train
America calls itself a democracy. North Korea calls itself a workers paradise. Both equally true. #HillaryClinton #Bernie2016,Hillary Clinton,NONE,Bernie Sanders,NONE,Train
"Who'll face more obstruction from Congress? #Hillary (8 yrs in Congress) or #Bernie (25 yrs)? Historically,Congress obstructs Clintons.",Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
Claiming tht #HillaryClinton's camp is more #enthusiastic than #Bernie's doesn't make it true. Saying and being are 2 different things! #MTP,Hillary Clinton,FAVOR,Bernie Sanders,FAVOR,Train
I guess ended well #DemDebate wish I could've heard more from #OMalley2016 but #Hillary2016 & #Bernie2016 got 2 be heard thanks to reporters,Hillary Clinton,NONE,Bernie Sanders,NONE,Train
Y'know the Rx you need that your #ACA insurance won't cover cuz #BigPharma is price gouging? #Hillary supports that. #Bernie #singlepayer,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
@brycecovert #bernie has more integrity in his pinky than #Hillary which is why he'd do better(polls confirm)but winning is all that matters,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
@NBCNews #DemDebate #Sanders & #HillaryClinton more concerned about criminals than #police & their safety/lives - should throw red flags!!,Hillary Clinton,AGAINST,Bernie Sanders,AGAINST,Train
News says #BernieSanders catching up with #HillaryClinton when national polls have her at least 20 points ahead. #ImWithHer #hillary2016,Hillary Clinton,FAVOR,Bernie Sanders,AGAINST,Train
"All the #BernieBabies shouting about how they ""won't vote for #Hillary"" if their savior doesn't get the nomination....*yawn*",Hillary Clinton,FAVOR,Bernie Sanders,AGAINST,Train
@CherySez With each debate she comes in more practiced but she is still #hillary. Her eyes tell what her lips lie. #Bernie2016 #DemDebate,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
"I totally disagree #BernieSanders ""the business model o wall street is fraud"" its greed, and sometimes greed is good #demdebate #hillary2016",Hillary Clinton,FAVOR,Bernie Sanders,AGAINST,Train
Why does anyone who identifies as progressive support #HillaryClinton? she has taken money from private prison corp #BernieOrBust,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
Bernie Sanders needs to call out Hillary Clinton on her flip flopping more. Voters deserve the truth #Hillary2016 #Bernie2016,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
@mjanemann @DeePort28 Nope. #Hillary doesn't have marches like #BernieSanders because Wall Street stpes & big bank CEO's don't really march.,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
"#Hillary at @BrownUniversity said her plan increased government spending to encourage American drinking ""even more"" than #sanders",Hillary Clinton,NONE,Bernie Sanders,NONE,Train
Only reason #BernieSanders polls better v #GOP2016 now is becz entire GOP have nonstop attack on #HillaryClinton. That will change.,Hillary Clinton,NONE,Bernie Sanders,AGAINST,Train
I'm used to being attacked by RightWing crazies but now #Bernie ppl attacking Sad Dems can't have a constructive discussion. #Hillary2016,Hillary Clinton,FAVOR,Bernie Sanders,AGAINST,Train
#Sanders campaign thinks #Microsoft might skew numbers to help #HillaryClinton. Threatening lawsuit. Is it because shes a career criminal?,Hillary Clinton,NONE,Bernie Sanders,NONE,Train
"#BernieSanders wins @TIME Person of the Year- by popular vote. Will mass media declare #HillaryClinton the winner instead, like DNC Debates?",Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
"I'll take #Hillary voting with Wall Street ANYDAY over #Bernie voting with the NRA, who enables murderers. #Hillary2016",Hillary Clinton,FAVOR,Bernie Sanders,AGAINST,Train
Is it wrong that I am more excited to see the Center for Medical Progress donor rolls than I am for Christmas? #Hillary2016 #Bernie2016,Hillary Clinton,NONE,Bernie Sanders,NONE,Train
Whenever #Hillary or #Sanders hear about #Trump supporters and #Cruz supporters attacking each other they smile and gain confidence.,Hillary Clinton,FAVOR,Bernie Sanders,FAVOR,Train
"This is going to be, by far, the most expensive democratic presidential race in history.  #Bernie and #Hillary are going to blow so much $$$",Hillary Clinton,NONE,Bernie Sanders,NONE,Train
".@Maggyw519 @Salon Wrong. Becky said she loves Socialist #Bernie  John has supported #Hillary & Obama They're unprofessional, rude & sucked",Hillary Clinton,AGAINST,Bernie Sanders,AGAINST,Train
We have lost a lot of economic Freedoms since the left has reared its ugly head and it will continue with #BernieSanders and #HillaryClinton,Hillary Clinton,AGAINST,Bernie Sanders,AGAINST,Train
"#Hillary: The system's fine, and anyway, we're powerless to change it. I'll tweak it so you notice the pain less. #Bernie #lowexpectations",Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
Dems need to stop lobbing grenades at #Hillary & #Bernie and focus on the fact that we CANNOT have any of these #GOP crackpots in the WH.,Hillary Clinton,FAVOR,Bernie Sanders,FAVOR,Train
My last tweet now after midnight in Las Vegas: #HillaryClinton great. #BernieSanders even greater - either could lead best President #Bernie,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
IT'S NOT A TACTIC! THE MEDIA SUCKS! LOOK AT #BERNIE GETTING CHEATED! SUPPRESS BEHIND LYING #HILLARY. POOR MODERATORS. MEDIA SUCKS!,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
#Hillary sez #Sanders also criticized Obama for taking money from #WallStreet. THAT'S RIGHT. And #WealthGap has steadily INCREASED under O.,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
Freindly reminder #Bernie2016 has a plan for criminal justice reform. #Hillary does not. Even after being protested. #DemForum #BLM,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
"Progressives aren't against Hillary supporters,we just believe Hillary isn't a Progressive liberal  #Bernie2016 #Hillary2016 #DemTownHall",Hillary Clinton,NONE,Bernie Sanders,NONE,Train
"""Not good enough!"" #Bernie on #Hillary explanation on how she'll regulate Wall Street when she receives HUGE $ from Wall Street! #DemDebate",Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
Every #Hillary or #Bernie supporter I know is a fucking retard... I'm not even kidding. The most sheltered and naive people ever.,Hillary Clinton,AGAINST,Bernie Sanders,AGAINST,Train
@Ealanbrock @spiritmoon7 #Hillary supporters 2 smart 2 take bait.. so r #Bernie supporters.. suggest u play yur dirty tricks on each other..,Hillary Clinton,FAVOR,Bernie Sanders,FAVOR,Train
Real story is #DemocratParty openly shilling for #HillaryClinton.  Big wigs behind closed doors should not decide candidates. #Bernie2016,Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
#HillaryClinton came out in support of Same-Sex Marriage in 2013.  #BernieSanders came out in support in 1972 when he first held office.,Hillary Clinton,NONE,Bernie Sanders,FAVOR,Train
"Many major polls that show #Hillary with a lead over #BernieSanders only polled w/Dems 50 or older, knowing Bernie has the youth vote.",Hillary Clinton,NONE,Bernie Sanders,NONE,Train
"You know what #mtp? #BernieSanders will fight Isis, but rigged economy is his priority & #HillaryClinton refuses to address that seriously.",Hillary Clinton,FAVOR,Bernie Sanders,NONE,Train
"@vtknitboy They are clueless.The #Hillary bots have been attacking me all night so I'm sending another check to #Bernie. Good job,@HRC. #HRC",Hillary Clinton,AGAINST,Bernie Sanders,FAVOR,Train
