Tweet,Target 1,Stance 1,Target 2,Stance 2,Test/Train/Dev
"How can you vote for someone just because they are woman, despite #HillaryClinton being a liar? #Trump2016 #trumpforpresident",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
"@jimsciutto #GOP #DonaldTrump flicks his hair & it's nonstop #CNN coverage, #HillaryClinton post #benghazihearing speech gets ?? Thoughts?",Donald Trump,AGAINST,Hillary Clinton,FAVOR,Train
Seeing #TRUMP2016 debate against #Hillary will be epic!! I don't think #Carson would be 2 easy to her! #trump is the only one with balls#2a,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
Trying to explain what a bafoon Trump is in Spanish the other day was rough.But his idiocy transcends all languages #Trump2016 #GOP #Hillary,Donald Trump,AGAINST,Hillary Clinton,FAVOR,Train
#HurricanePatricia Timeout from #HillaryClinton interview on #RachelMaddow to think good thoughts for #Mexico. #DonaldTrump will send huge$.,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
#HillaryClinton learns & retains new information quickly:  #DonaldTrump can't remember sending a tweet 10 minutes ago:  Your call America...,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
"@ormazd72 @Anomaly100 wow, I heard your mommy answer form here.  ""Shut up bitch and vote #Hillary2016""  Go #Trump2016 #MakeAmericaGreatAgain",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
#HillaryClinton is an establishment politician who has no problem lying to Americans. Why would anyone support that? #Trump2016 #Carson2016,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
#Trump unleashed on MSM/Political Pundits is only a glimpse what he could do to #hillary incompetent record if he ran against her!#Trump2016,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
#DonaldTrump struggled to remain conscious during 3-hour #GOPdebate. #Hillary remained in charge during 9-hour #Benghazi grilling. I  H!,Donald Trump,AGAINST,Hillary Clinton,FAVOR,Train
#Trump kicking Obama admin ass in #Florida rally! This guys will totally rip #Hillary's incompetent record in general! #Trump2016,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
"""#Trump2016 who would you rather have negotiating, #Hillary or Trump?"" no brainer: I'd rather have a mushroom negotiate than Trump.",Donald Trump,AGAINST,Hillary Clinton,NONE,Train
Anyone else think it's time to here the candidates talking about environmental issues?#gogreen #election2016 #Hillary2016 #Trump2016,Donald Trump,NONE,Hillary Clinton,NONE,Train
"Politics has become TV. Leadership has become pass. Originality has become huh, what's that? #HillaryClinton  #DonaldTrump  #Election2016",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
"It Won't Matter At This Point @JoeNBC.It Just Looks Like The Furtherance of The @GOP Witch Hunt,a/k/a #HillaryHunt @Morning_Joe > #Trump2016",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
#DonaldTrump acts like #crybaby when criticized Give him a #hankie #media keeps him going All about #money for them #HillaryClinton isBest,Donald Trump,AGAINST,Hillary Clinton,FAVOR,Train
"@Samstwitch #HillaryClinton doesn't take questions, but #DonaldTrump just kicks out anyone who doesn't agree with him.",Donald Trump,AGAINST,Hillary Clinton,AGAINST,Train
"@CNN Comparing #Trump2016 statements, #Hillary Testimony and #TonyBlair interview. Last 2 look like statesmen and #Trump like ""Barney Rubble",Donald Trump,AGAINST,Hillary Clinton,FAVOR,Train
".#Iowa, if you want to hand the presidency to #HillaryClinton, vote #BenCarson. He could never out talk or take Dems! If smart: #Trump2016",Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
@davidf4444  The Establishment is #HillaryClinton and #JebBush. They are the same thing. #Trump2016 is the only one that can make change.,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
What's #HillaryClinton thinking when she sides with the #BlackLivesMatter movement. She's forgetting that #WhiteChicksMatter #Trump2016,Donald Trump,FAVOR,Hillary Clinton,AGAINST,Train
