Tweet,Target 1,Stance 1,Target 2,Stance 2,Test/Train/Dev
#DonaldTrump says #BenCarson is low energy. Trump's high-energy mouth shows he can't handle adversity or blows to his fragile ego. #TedCruz,Donald Trump,AGAINST,Ted Cruz,FAVOR,Train
Saturday morning...the weekend is here...time to forget #DonaldTrump #BenCarson #TedCruz #TreyGowdy & the rest of these crazy motherfuckers!,Donald Trump,NONE,Ted Cruz,NONE,Train
"Kenwoods2Ken: RT dansch2002: MT SMolloyDVM: #DonaldTrump echoes #TedCruz on: immigration, amnesty, border, military, jobs. ",Donald Trump,NONE,Ted Cruz,NONE,Train
"#UniteBlue SMolloyDVM: RT dansch2002: MT SMolloyDVM: #DonaldTrump echoes #TedCruz on: immigration, amnesty, border, military, jobs. ",Donald Trump,NONE,Ted Cruz,NONE,Train
"#UniteBlue batjack75: RT dansch2002: MT SMolloyDVM: #DonaldTrump echoes #TedCruz on: immigration, amnesty, border, military, jobs. ",Donald Trump,NONE,Ted Cruz,NONE,Train
"#UniteBlue RaySr1946: RT dansch2002: MT SMolloyDVM: #DonaldTrump echoes #TedCruz on: immigration, amnesty, border, military, jobs. ",Donald Trump,NONE,Ted Cruz,NONE,Train
"#UniteBlue ckolacia: RT dansch2002: MT SMolloyDVM: #DonaldTrump echoes #TedCruz on: immigration, amnesty, border, military, jobs. ",Donald Trump,NONE,Ted Cruz,NONE,Train
"#UniteBlue armywife299: RT dansch2002: MT SMolloyDVM: #DonaldTrump echoes #TedCruz on: immigration, amnesty, border, military, jobs. ",Donald Trump,NONE,Ted Cruz,NONE,Train
"@aaronkleinshow details Hillary testimony and how she actually""answered"" more questions than media understands.#tcot #pjnet #cruz #trump2016",Donald Trump,NONE,Ted Cruz,NONE,Train
"@GOPisAHateGroup #BenCarson's violent past! #GOP=REAL WINNERS! They're THUGS ! EVERY DAMN ONE OF THEM, #Carson2016 #Trump2016 &KOOK #TedCruz",Donald Trump,AGAINST,Ted Cruz,AGAINST,Train
"@jaazee1 America is terminally infected with radical leftist ideology,by people who would destroy and transform our society,#trump2016 #cruz",Donald Trump,FAVOR,Ted Cruz,FAVOR,Train
